10/13/2020	1:29 PM
Voltage (V),Current (mA)
0.499	0.004
0.522	0.004
0.539	0.004
0.563	0.004
0.580	0.004
0.598	0.004
0.621	0.004
0.639	0.004
0.663	0.004
0.681	0.004
0.705	0.004
0.723	0.004
0.740	0.005
0.764	0.005
0.781	0.006
0.805	0.007
0.822	0.008
0.840	0.010
0.863	0.014
0.881	0.017
0.905	0.025
0.922	0.032
0.945	0.043
0.962	0.054
0.979	0.066
1.002	0.086
1.018	0.101
1.041	0.125
1.058	0.144
1.074	0.165
1.096	0.192
1.113	0.214
1.134	0.243
1.151	0.267
1.173	0.299
1.189	0.324
1.205	0.349
1.227	0.383
1.243	0.410
1.265	0.446
1.281	0.471
1.298	0.499
1.320	0.535
1.336	0.562
1.358	0.599
1.374	0.627
1.395	0.664
1.412	0.693
1.460	0.778
1.476	0.806
1.498	0.844
1.514	0.872
1.535	0.910
1.557	0.948
1.578	0.988
1.600	1.025
1.615	1.055
1.637	1.093
1.653	1.123
1.675	1.164
1.696	1.202
1.712	1.231
1.739	1.280
1.755	1.310
1.777	1.350
1.798	1.388
1.814	1.418
1.836	1.458
1.852	1.487
1.873	1.525
1.894	1.565
1.916	1.605
1.937	1.645
1.953	1.675
1.974	1.714
1.990	1.743
2.011	1.783
2.033	1.824
2.054	1.862
2.075	1.902
2.090	1.932
2.112	1.972
2.128	2.002
2.149	2.042
2.176	2.093
2.192	2.124
2.214	2.163
2.230	2.193
2.251	2.234
2.273	2.274
2.289	2.305
2.310	2.345
2.331	2.385
2.353	2.425
2.369	2.456
2.390	2.495
2.411	2.536
2.427	2.566
2.449	2.607
2.469	2.647
2.491	2.687
2.512	2.728
2.529	2.758
2.550	2.798
2.566	2.827
2.587	2.868
2.609	2.908
2.630	2.949
2.651	2.989
2.667	3.019
2.688	3.059
2.704	3.090
2.725	3.130
2.746	3.169
2.768	3.209
2.789	3.251
2.805	3.281
2.826	3.321
2.842	3.352
2.864	3.393
2.885	3.432
2.906	3.472
2.927	3.513
2.944	3.543
2.965	3.585
2.986	3.625
3.002	3.656
3.024	3.697
3.045	3.738
3.066	3.778
3.083	3.808
3.104	3.850
3.125	3.889
3.141	3.921
3.162	3.961
3.184	4.002
3.206	4.043
3.227	4.083
3.243	4.114
3.264	4.153
3.280	4.184
3.301	4.224
3.322	4.264
3.343	4.306
3.365	4.348
3.381	4.377
3.403	4.419
3.419	4.449
3.440	4.492
3.462	4.532
3.484	4.574
3.505	4.615
3.522	4.647
3.543	4.688
3.560	4.719
3.581	4.759
3.602	4.801
3.624	4.842
3.646	4.884
3.662	4.914
3.683	4.956
3.704	4.994
3.720	5.024
3.741	5.065
3.756	5.094
3.777	5.135
3.793	5.165
3.815	5.206
3.841	5.257
3.857	5.288
3.879	5.329
3.895	5.360
3.917	5.402
3.938	5.442
3.953	5.473
3.980	5.524
3.996	5.554
4.017	5.594
4.032	5.624
4.054	5.666
4.081	5.716
4.097	5.747
4.118	5.788
4.134	5.820
4.156	5.861
4.177	5.902
4.193	5.932
4.214	5.973
4.236	6.013
4.257	6.056
4.273	6.085
4.294	6.126
4.315	6.168
4.331	6.197
4.357	6.247
4.373	6.279
4.394	6.320
4.416	6.361
4.431	6.390
4.453	6.433
4.470	6.465
4.491	6.506
4.513	6.548
4.534	6.588
4.556	6.630
4.572	6.660
4.593	6.702
4.609	6.732
4.635	6.782
4.656	6.824
4.667	6.843
4.698	6.903
4.708	6.922
4.729	6.963
4.749	7.001
4.769	7.041
4.790	7.080
4.810	7.119
4.831	7.159
4.851	7.199
4.872	7.237
4.892	7.277
4.902	7.295
4.933	7.355
4.943	7.375
4.964	7.414
4.984	7.454
5.005	7.494
5.025	7.534
5.046	7.574
5.066	7.613
5.086	7.653
5.107	7.693
5.127	7.733
5.148	7.773
5.158	7.794
5.189	7.853
5.210	7.891
5.230	7.930
5.240	7.951
5.261	7.991
5.292	8.052
5.303	8.072
5.324	8.113
5.345	8.153
5.365	8.193
5.386	8.234
5.406	8.272
5.427	8.312
5.447	8.352
5.467	8.391
5.488	8.432
5.498	8.452
5.519	8.492
5.549	8.551
5.569	8.590
5.580	8.610
5.601	8.651
5.632	8.712
5.642	8.732
5.663	8.771
5.684	8.812
5.705	8.851
5.725	8.890
5.745	8.930
5.756	8.951
5.776	8.992
5.807	9.051
5.828	9.091
5.838	9.112
5.859	9.151
5.889	9.210
5.899	9.231
5.920	9.270
5.942	9.311
5.962	9.353
5.983	9.393
6.004	9.433
6.025	9.474
6.036	9.494
6.066	9.553
6.086	9.592
6.096	9.611
6.117	9.652
6.147	9.710
6.158	9.730
6.178	9.769
6.198	9.808
6.218	9.846
6.238	9.886
6.259	9.926
6.280	9.966
6.290	9.986
6.321	10.046
6.341	10.087
6.351	10.106
6.372	10.146
6.402	10.205
6.413	10.225
6.433	10.265
6.454	10.304
6.475	10.345
6.496	10.385
6.516	10.424
6.537	10.464
6.546	10.482
6.577	10.542
6.597	10.581
6.608	10.601
6.628	10.640
6.658	10.700
6.679	10.738
6.689	10.758
6.708	10.796
6.740	10.856
6.750	10.876
6.770	10.917
6.791	10.956
6.811	10.996
6.832	11.035
6.852	11.074
6.872	11.113
6.883	11.132
6.913	11.192
6.934	11.232
6.945	11.253
6.965	11.292
6.996	11.351
7.006	11.372
7.027	11.411
7.047	11.451
7.079	11.511
7.089	11.531
7.110	11.571
7.131	11.613
7.141	11.632
7.173	11.695
7.194	11.734
7.214	11.773
7.224	11.793
7.256	11.854
7.276	11.894
7.287	11.915
7.308	11.955
7.339	12.016
7.350	12.036
7.370	12.074
7.391	12.114
7.411	12.155
7.432	12.194
7.452	12.234
7.473	12.274
7.494	12.315
7.514	12.353
7.534	12.392
7.555	12.432
7.565	12.452
7.597	12.513
7.618	12.553
7.628	12.574
7.649	12.613
7.670	12.654
7.691	12.694
7.711	12.734
7.732	12.773
7.742	12.794
7.773	12.855
7.794	12.895
7.804	12.915
7.825	12.956
7.857	13.016
7.866	13.034
7.886	13.073
7.907	13.113
7.927	13.152
7.948	13.192
7.968	13.232
7.988	13.271
7.998	13.290
8.028	13.347
8.049	13.388
8.059	13.408
8.080	13.448
8.111	13.507
8.121	13.527
8.141	13.567
8.162	13.608
8.183	13.646
8.202	13.683
8.222	13.721
8.242	13.762
8.252	13.781
8.283	13.840
8.303	13.879
8.313	13.898
8.333	13.937
8.363	13.995
8.374	14.016
8.394	14.056
8.416	14.096
8.426	14.117
8.457	14.178
8.478	14.219
8.499	14.258
8.510	14.279
8.540	14.336
8.560	14.377
8.570	14.396
8.591	14.436
8.622	14.496
8.632	14.516
8.652	14.556
8.673	14.595
8.693	14.633
8.713	14.673
8.733	14.712
8.754	14.751
8.764	14.771
8.795	14.831
8.815	14.871
8.836	14.910
8.845	14.927
8.876	14.987
8.896	15.026
8.917	15.065
8.927	15.085
8.947	15.125
8.978	15.184
8.988	15.204
9.008	15.240
9.029	15.281
9.060	15.342
9.070	15.361
9.091	15.401
9.111	15.442
9.132	15.482
9.153	15.523
9.173	15.562
9.183	15.582
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.601
9.193	15.600
9.193	15.600
9.193	15.601
9.193	15.600
9.193	15.600
9.193	15.599
9.193	15.600
9.193	15.599
9.193	15.598
9.193	15.598
9.193	15.598
9.193	15.598
9.193	15.599
9.193	15.598
9.193	15.598
9.193	15.597
9.193	15.598
9.193	15.597
9.193	15.596
9.193	15.596
9.193	15.597
9.193	15.597
9.193	15.597
9.193	15.596
9.194	15.597
9.193	15.597
9.193	15.596
10/13/2020	1:47 PM
Voltage (V),Current (mA)
0.500	0.004
0.523	0.003
0.540	0.004
0.564	0.004
0.581	0.004
0.599	0.004
0.622	0.003
0.640	0.004
0.664	0.003
0.682	0.003
0.706	0.004
0.724	0.004
0.741	0.004
0.765	0.005
0.782	0.006
0.806	0.007
0.823	0.008
0.841	0.010
0.864	0.014
0.882	0.018
0.905	0.026
0.923	0.033
0.946	0.045
0.963	0.056
0.980	0.069
1.002	0.089
1.019	0.105
1.041	0.129
1.058	0.148
1.075	0.168
1.097	0.196
1.113	0.217
1.135	0.247
1.151	0.271
1.173	0.303
1.189	0.328
1.206	0.353
1.227	0.386
1.244	0.413
1.265	0.448
1.281	0.474
1.298	0.501
1.320	0.537
1.337	0.565
1.358	0.601
1.374	0.629
1.396	0.667
1.412	0.694
1.461	0.779
1.477	0.807
1.498	0.845
1.515	0.872
1.536	0.910
1.557	0.947
1.579	0.987
1.600	1.025
1.616	1.053
1.638	1.093
1.654	1.122
1.676	1.161
1.697	1.199
1.713	1.228
1.734	1.267
1.756	1.306
1.777	1.346
1.799	1.384
1.815	1.414
1.836	1.453
1.852	1.482
1.874	1.521
1.890	1.550
1.916	1.600
1.938	1.638
1.954	1.668
1.975	1.707
1.991	1.737
2.012	1.777
2.034	1.816
2.054	1.854
2.076	1.893
2.092	1.923
2.113	1.962
2.129	1.992
2.150	2.032
2.172	2.073
2.194	2.113
2.215	2.151
2.231	2.181
2.253	2.222
2.274	2.261
2.290	2.292
2.311	2.331
2.327	2.361
2.349	2.401
2.370	2.441
2.391	2.480
2.412	2.520
2.429	2.550
2.450	2.591
2.466	2.620
2.487	2.660
2.514	2.712
2.530	2.741
2.552	2.780
2.568	2.810
2.589	2.850
2.605	2.880
2.626	2.920
2.647	2.959
2.668	2.999
2.690	3.040
2.706	3.070
2.727	3.108
2.748	3.149
2.764	3.179
2.785	3.220
2.807	3.259
2.828	3.299
2.844	3.330
2.865	3.370
2.887	3.410
2.902	3.440
2.924	3.480
2.946	3.521
2.967	3.561
2.988	3.601
3.004	3.631
3.026	3.672
3.042	3.702
3.069	3.753
3.084	3.783
3.106	3.823
3.127	3.864
3.143	3.894
3.164	3.935
3.181	3.966
3.202	4.006
3.224	4.047
3.245	4.086
3.266	4.125
3.282	4.156
3.303	4.197
3.319	4.226
3.340	4.267
3.362	4.307
3.383	4.348
3.405	4.388
3.421	4.419
3.442	4.460
3.464	4.501
3.480	4.531
3.502	4.573
3.523	4.614
3.545	4.655
3.562	4.686
3.583	4.726
3.605	4.767
3.621	4.797
3.642	4.839
3.658	4.869
3.680	4.909
3.706	4.960
3.722	4.990
3.743	5.029
3.759	5.058
3.780	5.098
3.796	5.129
3.817	5.169
3.837	5.209
3.854	5.241
3.876	5.282
3.898	5.322
3.920	5.363
3.940	5.403
3.956	5.433
3.977	5.474
3.993	5.503
4.019	5.553
4.035	5.584
4.057	5.624
4.078	5.665
4.094	5.695
4.115	5.736
4.132	5.767
4.153	5.808
4.180	5.858
4.196	5.889
4.217	5.930
4.233	5.960
4.255	6.000
4.276	6.040
4.297	6.080
4.318	6.121
4.334	6.151
4.354	6.190
4.371	6.221
4.392	6.261
4.414	6.302
4.434	6.342
4.456	6.383
4.473	6.414
4.494	6.455
4.516	6.497
4.532	6.527
4.553	6.568
4.575	6.608
4.597	6.649
4.612	6.679
4.633	6.719
4.654	6.759
4.670	6.789
4.691	6.829
4.712	6.869
4.733	6.908
4.752	6.945
4.773	6.985
4.793	7.023
4.814	7.062
4.834	7.102
4.845	7.122
4.866	7.161
4.886	7.200
4.906	7.237
4.926	7.276
4.947	7.315
4.967	7.354
4.988	7.394
4.998	7.413
5.029	7.473
5.050	7.512
5.070	7.550
5.080	7.569
5.111	7.628
5.131	7.667
5.142	7.687
5.162	7.727
5.193	7.786
5.204	7.806
5.224	7.844
5.244	7.882
5.265	7.921
5.286	7.961
5.307	8.001
5.328	8.041
5.338	8.061
5.369	8.120
5.390	8.161
5.410	8.198
5.420	8.217
5.451	8.275
5.472	8.315
5.482	8.335
5.503	8.374
5.523	8.413
5.544	8.452
5.564	8.491
5.584	8.529
5.605	8.569
5.626	8.608
5.647	8.648
5.668	8.687
5.678	8.707
5.710	8.766
5.730	8.805
5.740	8.824
5.761	8.863
5.781	8.902
5.802	8.941
5.823	8.981
5.843	9.021
5.864	9.059
5.885	9.100
5.905	9.137
5.926	9.176
5.936	9.196
5.968	9.256
5.989	9.295
5.999	9.315
6.020	9.355
6.041	9.395
6.061	9.433
6.082	9.471
6.102	9.510
6.112	9.529
6.143	9.587
6.163	9.627
6.184	9.666
6.194	9.685
6.224	9.743
6.244	9.781
6.254	9.799
6.275	9.838
6.296	9.877
6.316	9.916
6.337	9.956
6.357	9.995
6.368	10.016
6.398	10.074
6.419	10.113
6.429	10.131
6.450	10.170
6.481	10.229
6.502	10.269
6.512	10.289
6.533	10.328
6.553	10.367
6.573	10.405
6.594	10.443
6.614	10.482
6.634	10.522
6.655	10.560
6.675	10.600
6.695	10.639
6.705	10.658
6.736	10.715
6.756	10.754
6.777	10.793
6.787	10.813
6.818	10.872
6.838	10.912
6.849	10.931
6.869	10.971
6.889	11.010
6.910	11.048
6.930	11.087
6.951	11.126
6.961	11.146
6.992	11.205
7.013	11.245
7.034	11.284
7.043	11.303
7.075	11.363
7.095	11.402
7.106	11.423
7.127	11.462
7.148	11.503
7.179	11.563
7.190	11.583
7.210	11.622
7.231	11.661
7.252	11.701
7.273	11.739
7.294	11.780
7.315	11.820
7.336	11.860
7.357	11.900
7.377	11.939
7.387	11.959
7.408	11.998
7.439	12.056
7.449	12.074
7.470	12.112
7.491	12.152
7.521	12.211
7.532	12.228
7.552	12.266
7.573	12.306
7.594	12.346
7.615	12.385
7.635	12.425
7.646	12.444
7.667	12.484
7.698	12.545
7.708	12.564
7.729	12.603
7.750	12.643
7.770	12.682
7.791	12.722
7.812	12.762
7.823	12.782
7.854	12.842
7.874	12.881
7.884	12.901
7.904	12.939
7.925	12.979
7.945	13.017
7.966	13.056
7.986	13.094
8.006	13.135
8.027	13.175
8.047	13.214
8.067	13.254
8.077	13.276
8.108	13.334
8.129	13.374
8.139	13.394
8.159	13.434
8.180	13.475
8.210	13.533
8.220	13.553
8.240	13.592
8.260	13.629
8.280	13.667
8.300	13.706
8.321	13.745
8.330	13.765
8.360	13.823
8.382	13.863
8.392	13.883
8.413	13.924
8.433	13.965
8.455	14.005
8.475	14.045
8.496	14.086
8.517	14.125
8.537	14.163
8.558	14.203
8.578	14.241
8.588	14.261
8.619	14.320
8.640	14.360
8.660	14.398
8.670	14.417
8.690	14.454
8.721	14.514
8.731	14.534
8.752	14.573
8.772	14.613
8.793	14.653
8.813	14.692
8.833	14.730
8.853	14.768
8.874	14.808
8.894	14.847
8.915	14.885
8.935	14.924
