9/29/2020	1:26 PM
Base current (µA): 15.0
Collector Voltage (V),Collector Current (A)
0.00492667	0.00000738
0.05178577	0.00007906
0.09941686	0.00056980
0.14747501	0.00199020
0.19780052	0.00232565
0.24763037	0.00234214
0.29891080	0.00236076
0.34400526	0.00238128
0.39780394	0.00239387
0.44224620	0.00241086
0.49831062	0.00241512
0.54984354	0.00238043
0.60030718	0.00239710
0.64205983	0.00241053
0.69052245	0.00241705
0.74537749	0.00242234
0.79576253	0.00236394
0.84569732	0.00237416
0.89840705	0.00237012
0.95240472	0.00240025

Base current (µA): 30.0
Collector Voltage (V),Collector Current (A)
0.00492667	0.00001001
0.05178577	0.00013940
0.09941686	0.00080858
0.14747501	0.00261882
0.19780052	0.00445515
0.24763037	0.00480183
0.29891080	0.00476223
0.34400526	0.00468461
0.39780394	0.00470909
0.44224620	0.00474174
0.49831062	0.00474472
0.54984354	0.00469797
0.60030718	0.00472397
0.64205983	0.00474552
0.69052245	0.00475728
0.74537749	0.00476534
0.79576253	0.00488369
0.84569732	0.00489674
0.89840705	0.00473335
0.95240472	0.00476687

Base current (µA): 45.0
Collector Voltage (V),Collector Current (A)
0.00492667	0.00001348
0.05178577	0.00019328
0.09941686	0.00094565
0.14747501	0.00293279
0.19780052	0.00567977
0.24763037	0.00675976
0.29891080	0.00706221
0.34400526	0.00706963
0.39780394	0.00711877
0.44224620	0.00716797
0.49831062	0.00718409
0.54984354	0.00713284
0.60030718	0.00716591
0.64205983	0.00719138
0.69052245	0.00721370
0.74537749	0.00722899
0.79576253	0.00716726
0.84569732	0.00717513
0.89840705	0.00720921
0.95240472	0.00725553

Base current (µA): 60.0
Collector Voltage (V),Collector Current (A)
0.00492667	0.00001836
0.05178577	0.00023739
0.09941686	0.00106402
0.14747501	0.00312158
0.19780052	0.00609634
0.24763037	0.00816896
0.29891080	0.00872813
0.34400526	0.00902889
0.39780394	0.00919177
0.44224620	0.00930272
0.49831062	0.00939870
0.54984354	0.00939050
0.60030718	0.00944732
0.64205983	0.00948330
0.69052245	0.00952190
0.74537749	0.00954256
0.79576253	0.00947905
0.84569732	0.00948344
0.89840705	0.00955076
0.95240472	0.00960815

Base current (µA): 75.0
Collector Voltage (V),Collector Current (A)
0.00492667	0.00002440
0.05178577	0.00027577
0.09941686	0.00114965
0.14747501	0.00327258
0.19780052	0.00636462
0.24763037	0.00887964
0.29891080	0.01014871
0.34400526	0.01057889
0.39780394	0.01082437
0.44224620	0.01099274
0.49831062	0.01118475
0.54984354	0.01127459
0.60030718	0.01140340
0.64205983	0.01149347
0.69052245	0.01159159
0.74537749	0.01166816
0.79576253	0.01164107
0.84569732	0.01165465
0.89840705	0.01175409
0.95240472	0.01182658
