10/13/2020	1:14 PM
Voltage (V),Current (mA)
0.498	0.005
0.522	0.005
0.538	0.004
0.562	0.004
0.579	0.004
0.597	0.005
0.621	0.005
0.638	0.005
0.662	0.005
0.680	0.005
0.704	0.005
0.722	0.004
0.740	0.005
0.763	0.006
0.781	0.006
0.804	0.007
0.821	0.008
0.839	0.011
0.863	0.015
0.881	0.020
0.904	0.029
0.921	0.040
0.943	0.061
0.960	0.084
0.976	0.117
0.996	0.178
1.011	0.237
1.029	0.348
1.041	0.456
1.068	0.833
1.083	1.132
1.103	1.759
1.123	2.628
1.137	3.398
1.160	5.025
1.178	6.621
1.197	8.429
1.218	10.872
1.237	13.156
1.255	15.646
1.276	18.744
1.295	21.592
1.315	24.644
1.334	27.808
1.353	31.200
